Tab,Row in V3,Review group,Section,Page,Web address,Pick needed,Initial decision,Reason
Main site,61,3 Content pages,Top-level pages,Alumni impact contact us,https://uncommonschools.org/alumni-impact-contact-us/,yes,Consolidate,"Decided by hand: Fold into the Alumni page; 40 views, a contact form for one program."
Main site,62,3 Content pages,Top-level pages,Nyc school tours,https://uncommonschools.org/nyc-school-tours/,yes,Consolidate,"Decided by hand: Fold into nyc.uncommonschools.org/school-tours/, which has the same job and 407 views."
Main site,63,3 Content pages,Top-level pages,Subscribe to uncommon sense,https://uncommonschools.org/subscribe-to-uncommon-sense/,yes,Keep,Decided by hand: Sign-up page linked from 22 other pages.
Main site,64,3 Content pages,Top-level pages,Vote,https://uncommonschools.org/vote/,yes,Kill,Decided by hand: Dated 2023 page; 18 views.
Main site,65,3 Content pages,Top-level pages,World autism day,https://uncommonschools.org/world-autism-day/,yes,Kill,Decided by hand: Dated 2023 event page; 16 views.
Main site,66,3 Content pages,Top-level pages,2425survey guidelines,https://uncommonschools.org/2425survey-guidelines/,yes,Kill,Decided by hand: Guidelines for a 2024-25 survey; 15 views.
Main site,67,3 Content pages,Top-level pages,Sms,https://uncommonschools.org/sms/,yes,Keep,Decided by hand: Text-message sign-up page; pairs with Mobile terms and conditions.
Main site,68,3 Content pages,Top-level pages,Uncommon sense faq,https://uncommonschools.org/uncommon-sense-faq/,yes,Consolidate,Copy of Uncommon Sense FAQ (the blog's own FAQ page); fold into it.
Main site,69,3 Content pages,Top-level pages,Mobile terms and conditions,https://uncommonschools.org/mobile-terms-and-conditions/,yes,Keep,Decided by hand: Terms for the text-message program; Miriam vets any change.
Main site,70,3 Content pages,Top-level pages,Standard page,https://uncommonschools.org/standard-page/,yes,Kill,Decided by hand: Template leftover; 4 views.
Main site,71,3 Content pages,Top-level pages,Homepage 2,https://uncommonschools.org/homepage-2/,yes,Consolidate,Copy of the Homepage; fold into it.
Main site,72,3 Content pages,Books,Get better faster a 90 day plan for coaching new teachers,https://uncommonschools.org/books/get-better-faster-a-90-day-plan-for-coaching-new-teachers/,yes,Keep,"4,099 views in 12 months."
Main site,73,3 Content pages,Books,Leverage leadership a practical guide to building exceptional schools,https://uncommonschools.org/books/leverage-leadership-a-practical-guide-to-building-exceptional-schools/,yes,Keep,"2,514 views in 12 months."
Main site,74,3 Content pages,Books,Driven by data a practical guide to improve instruction,https://uncommonschools.org/books/driven-by-data-a-practical-guide-to-improve-instruction/,yes,Keep,"1,734 views in 12 months."
Main site,75,3 Content pages,Books,A principal managers guide to leverage leadership 2 0,https://uncommonschools.org/books/a-principal-managers-guide-to-leverage-leadership-2-0/,yes,Keep,403 views in 12 months.
Main site,76,3 Content pages,Books,Make history a practical guide for middle and high school history instruction grades 5 12,https://uncommonschools.org/books/make-history-a-practical-guide-for-middle-and-high-school-history-instruction-grades-5-12/,yes,Keep,365 views in 12 months.
Main site,77,3 Content pages,Books,Great habits great readers a practical guide for k 4 reading in the light of common core,https://uncommonschools.org/books/great-habits-great-readers-a-practical-guide-for-k-4-reading-in-the-light-of-common-core/,yes,Keep,267 views in 12 months.
Main site,78,3 Content pages,Books,Love and literacy,https://uncommonschools.org/books/love-and-literacy/,yes,Keep,203 views in 12 months.
Main site,79,3 Content pages,Books,Practice perfect 42 rules for getting better at getting better,https://uncommonschools.org/books/practice-perfect-42-rules-for-getting-better-at-getting-better/,yes,Keep,134 views in 12 months.
Main site,80,3 Content pages,Books,Reading reconsidered,https://uncommonschools.org/books/reading-reconsidered/,yes,Keep,95 views in 12 months.
Main site,81,3 Content pages,Impact blog,Evolving our illustrative math implementation lessons from year one,https://uncommonschools.org/uncommon-sense/evolving-our-illustrative-math-implementation-lessons-from-year-one/,yes,Keep,"Uncommon Sense post; the blog moves as one unit. 1,267 views in 12 months."
Main site,82,3 Content pages,Impact blog,New phonics program helps uncommon students become better readers,https://uncommonschools.org/uncommon-sense/new-phonics-program-helps-uncommon-students-become-better-readers/,yes,Keep,Uncommon Sense post; the blog moves as one unit. 976 views in 12 months.
Main site,83,3 Content pages,Impact blog,Uncommon schools adopts illustrative math to help dramatically accelerate student achievement,https://uncommonschools.org/uncommon-sense/uncommon-schools-adopts-illustrative-math-to-help-dramatically-accelerate-student-achievement/,yes,Keep,Uncommon Sense post; the blog moves as one unit. 850 views in 12 months.
Main site,84,3 Content pages,Impact blog,Viola davis teach us about preparing discourse,https://uncommonschools.org/uncommon-sense/viola-davis-teach-us-about-preparing-discourse/,yes,Keep,Uncommon Sense post; the blog moves as one unit. 613 views in 12 months.
Main site,85,3 Content pages,Impact blog,Daily note taking is key to success,https://uncommonschools.org/uncommon-sense/daily-note-taking-is-key-to-success/,yes,Keep,Uncommon Sense post; the blog moves as one unit. 367 views in 12 months.
Main site,86,3 Content pages,Impact blog,Look whos talking building a brave space in class,https://uncommonschools.org/uncommon-sense/look-whos-talking-building-a-brave-space-in-class/,yes,Keep,Uncommon Sense post; the blog moves as one unit. 328 views in 12 months.
Main site,87,3 Content pages,Impact blog,Make history real activate student engagement by giving access,https://uncommonschools.org/uncommon-sense/make-history-real-activate-student-engagement-by-giving-access/,yes,Keep,Uncommon Sense post; the blog moves as one unit. 327 views in 12 months.
Main site,88,3 Content pages,Impact blog,From good to great uncommon cultivates effective highly experienced teachers with the master teacher institute,https://uncommonschools.org/uncommon-sense/from-good-to-great-uncommon-cultivates-effective-highly-experienced-teachers-with-the-master-teacher-institute/,yes,Keep,Uncommon Sense post; the blog moves as one unit. 270 views in 12 months.
Main site,89,3 Content pages,Impact blog,Five ways to partner with families on the science of reading,https://uncommonschools.org/uncommon-sense/five-ways-to-partner-with-families-on-the-science-of-reading/,yes,Keep,Uncommon Sense post; the blog moves as one unit. 249 views in 12 months.
Main site,90,3 Content pages,Impact blog,Understanding complex history texts,https://uncommonschools.org/uncommon-sense/understanding-complex-history-texts/,yes,Keep,Uncommon Sense post; the blog moves as one unit. 202 views in 12 months.
Main site,91,3 Content pages,Impact blog,Introducing open source ap curriculum hub,https://uncommonschools.org/uncommon-sense/introducing-open-source-ap-curriculum-hub/,yes,Keep,Uncommon Sense post; the blog moves as one unit. 199 views in 12 months.
Main site,92,3 Content pages,Impact blog,Desmos drive mathematical dscourse,https://uncommonschools.org/uncommon-sense/desmos-drive-mathematical-dscourse/,yes,Keep,Uncommon Sense post; the blog moves as one unit. 151 views in 12 months.
Main site,93,3 Content pages,Impact blog,Let them embrace the challenge veteran math teacher shares her story of success,https://uncommonschools.org/uncommon-sense/let-them-embrace-the-challenge-veteran-math-teacher-shares-her-story-of-success/,yes,Keep,Uncommon Sense post; the blog moves as one unit. 150 views in 12 months.
Main site,94,3 Content pages,Impact blog,Studying our nations complicated history leveraging productive struggle for student growth,https://uncommonschools.org/uncommon-sense/studying-our-nations-complicated-history-leveraging-productive-struggle-for-student-growth/,yes,Keep,Uncommon Sense post; the blog moves as one unit. 144 views in 12 months.
Main site,95,3 Content pages,Impact blog,Using just in time instruction address covid learning loss,https://uncommonschools.org/uncommon-sense/using-just-in-time-instruction-address-covid-learning-loss/,yes,Keep,Uncommon Sense post; the blog moves as one unit. 133 views in 12 months.
Main site,96,3 Content pages,Impact blog,22 23 school year plans,https://uncommonschools.org/uncommon-sense/22-23-school-year-plans/,yes,Keep,Uncommon Sense post; the blog moves as one unit. 132 views in 12 months.
Main site,97,3 Content pages,Impact blog,Why your students should apply early decision,https://uncommonschools.org/uncommon-sense/why-your-students-should-apply-early-decision/,yes,Keep,Uncommon Sense post; the blog moves as one unit. 126 views in 12 months.
Main site,98,3 Content pages,Impact blog,Build better writers,https://uncommonschools.org/uncommon-sense/build-better-writers/,yes,Keep,Uncommon Sense post; the blog moves as one unit. 120 views in 12 months.
Main site,99,3 Content pages,Impact blog,Teaching what really matters in math,https://uncommonschools.org/uncommon-sense/teaching-what-really-matters-in-math/,yes,Keep,Uncommon Sense post; the blog moves as one unit. 119 views in 12 months.
Main site,100,3 Content pages,Impact blog,Yes you can teach sight words efficiently heres how,https://uncommonschools.org/uncommon-sense/yes-you-can-teach-sight-words-efficiently-heres-how/,yes,Keep,Uncommon Sense post; the blog moves as one unit. 114 views in 12 months.
Main site,101,3 Content pages,Impact blog,Beyond the chatbot why critical thinking and ethics are the real ai literacy,https://uncommonschools.org/uncommon-sense/beyond-the-chatbot-why-critical-thinking-and-ethics-are-the-real-ai-literacy/,yes,Keep,Uncommon Sense post; the blog moves as one unit. 110 views in 12 months.
Main site,102,3 Content pages,Impact blog,Uncommon schools social workers turn to ai to support work,https://uncommonschools.org/uncommon-sense/uncommon-schools-social-workers-turn-to-ai-to-support-work/,yes,Keep,Uncommon Sense post; the blog moves as one unit. 109 views in 12 months.
Main site,103,3 Content pages,Impact blog,Transforming principal diversity uncommon schools lead from within fellowship program empowers leaders of color,https://uncommonschools.org/uncommon-sense/transforming-principal-diversity-uncommon-schools-lead-from-within-fellowship-program-empowers-leaders-of-color/,yes,Keep,Uncommon Sense post; the blog moves as one unit. 90 views in 12 months.
Main site,104,3 Content pages,Impact blog,The missing ingredient in science of reading teacher and leader training,https://uncommonschools.org/uncommon-sense/the-missing-ingredient-in-science-of-reading-teacher-and-leader-training/,yes,Keep,Uncommon Sense post; the blog moves as one unit. 88 views in 12 months.
Main site,105,3 Content pages,Impact blog,Why trust and rapport matter to school leadership and how to foster it,https://uncommonschools.org/uncommon-sense/why-trust-and-rapport-matter-to-school-leadership-and-how-to-foster-it/,yes,Keep,Uncommon Sense post; the blog moves as one unit. 85 views in 12 months.
Main site,106,3 Content pages,Impact blog,Developing inspirational leaders connections purpose,https://uncommonschools.org/uncommon-sense/developing-inspirational-leaders-connections-purpose/,yes,Keep,Uncommon Sense post; the blog moves as one unit. 75 views in 12 months.
Main site,107,3 Content pages,Impact blog,Are students learning growing thriving,https://uncommonschools.org/uncommon-sense/are-students-learning-growing-thriving/,yes,Keep,Uncommon Sense post; the blog moves as one unit. 67 views in 12 months.
Main site,108,3 Content pages,Impact blog,Maximize summer school double down reading,https://uncommonschools.org/uncommon-sense/maximize-summer-school-double-down-reading/,yes,Keep,Uncommon Sense post; the blog moves as one unit. 64 views in 12 months.
Main site,109,3 Content pages,Impact blog,Surprising secrets to academic success,https://uncommonschools.org/uncommon-sense/surprising-secrets-to-academic-success/,yes,Keep,Uncommon Sense post; the blog moves as one unit. 63 views in 12 months.
Main site,110,3 Content pages,Impact blog,The power of peer mentorship,https://uncommonschools.org/uncommon-sense/the-power-of-peer-mentorship/,yes,Keep,Uncommon Sense post; the blog moves as one unit. 62 views in 12 months.
Main site,111,3 Content pages,Impact blog,One year anniversary,https://uncommonschools.org/uncommon-sense/one-year-anniversary/,yes,Keep,Uncommon Sense post; the blog moves as one unit. 53 views in 12 months.
Main site,112,3 Content pages,Impact blog,Breaking barriers to computer science,https://uncommonschools.org/uncommon-sense/breaking-barriers-to-computer-science/,yes,Keep,Uncommon Sense post; the blog moves as one unit. 44 views in 12 months.
Main site,113,3 Content pages,Impact blog,Sold a story is a renewed call to action,https://uncommonschools.org/uncommon-sense/sold-a-story-is-a-renewed-call-to-action/,yes,Keep,Uncommon Sense post; the blog moves as one unit. 42 views in 12 months.
Main site,114,3 Content pages,Impact blog,Plan reverse covid learning loss,https://uncommonschools.org/uncommon-sense/plan-reverse-covid-learning-loss/,yes,Keep,Uncommon Sense post; the blog moves as one unit. 35 views in 12 months.
Main site,115,3 Content pages,Impact blog,Why we held a coding camp for teachers this summer,https://uncommonschools.org/uncommon-sense/why-we-held-a-coding-camp-for-teachers-this-summer/,yes,Keep,Uncommon Sense post; the blog moves as one unit. 31 views in 12 months.
Main site,116,3 Content pages,Impact blog,Foster self love celebrate identity elementary classroom,https://uncommonschools.org/uncommon-sense/foster-self-love-celebrate-identity-elementary-classroom/,yes,Keep,Uncommon Sense post; the blog moves as one unit. 29 views in 12 months.
Main site,117,3 Content pages,News posts,18 seniors receive scholarships,https://uncommonschools.org/news/18-seniors-receive-scholarships/,yes,Keep,"1,043 views in 12 months."
Main site,118,3 Content pages,News posts,Uncommon schools visionaries documentary pbs,https://uncommonschools.org/news/uncommon-schools-visionaries-documentary-pbs/,yes,Keep,633 views in 12 months.
Main site,119,3 Content pages,News posts,Ai literacy newark,https://uncommonschools.org/news/ai-literacy-newark/,yes,Keep,589 views in 12 months.
Main site,120,3 Content pages,News posts,Summer teaching fellowship nbc new york story,https://uncommonschools.org/news/summer-teaching-fellowship-nbc-new-york-story/,yes,Keep,246 views in 12 months.
Main site,121,3 Content pages,News posts,Early decision admissions,https://uncommonschools.org/news/early-decision-admissions/,yes,Keep,212 views in 12 months.
Main site,122,3 Content pages,News posts,Teach like a champion new guide online teaching learning,https://uncommonschools.org/news/teach-like-a-champion-new-guide-online-teaching-learning/,yes,Keep,138 views in 12 months.
Main site,123,3 Content pages,News posts,Uncommon opens new elementary school in williamsburg,https://uncommonschools.org/new-york-city/uncommon-opens-new-elementary-school-in-williamsburg/,yes,Keep,105 views in 12 months.
Main site,124,3 Content pages,News posts,A call to teach,https://uncommonschools.org/news/a-call-to-teach/,yes,Keep,95 views in 12 months.
Main site,125,3 Content pages,News posts,Six roxbury prep seniors secure full ride scholarships to prestigious colleges,https://uncommonschools.org/news/six-roxbury-prep-seniors-secure-full-ride-scholarships-to-prestigious-colleges/,yes,Keep,77 views in 12 months.
Main site,126,3 Content pages,News posts,It starts with phonics chief schools officer k 8 juliana worrell appears on bnc to discuss reading education,https://uncommonschools.org/news/it-starts-with-phonics-chief-schools-officer-k-8-juliana-worrell-appears-on-bnc-to-discuss-reading-education/,yes,Keep,76 views in 12 months.
Main site,127,3 Content pages,News posts,Paul powell three factors that have an impact on students lives,https://uncommonschools.org/news/paul-powell-three-factors-that-have-an-impact-on-students-lives/,yes,Keep,76 views in 12 months.
Main site,128,3 Content pages,News posts,Teacher perspective uncommon demands,https://uncommonschools.org/news/teacher-perspective-uncommon-demands/,yes,Keep,68 views in 12 months.
Main site,129,3 Content pages,News posts,Nyt op ed college application sell my pain,https://uncommonschools.org/news/nyt-op-ed-college-application-sell-my-pain/,yes,Keep,66 views in 12 months.
Main site,130,3 Content pages,News posts,Bnc art worrell on the importance of access to advanced placement courses,https://uncommonschools.org/news/bnc-art-worrell-on-the-importance-of-access-to-advanced-placement-courses/,yes,Keep,63 views in 12 months.
Main site,131,3 Content pages,News posts,Leadership prep canarsie wins sports grant,https://uncommonschools.org/news/leadership-prep-canarsie-wins-sports-grant/,yes,Keep,60 views in 12 months.
Main site,132,3 Content pages,News posts,Camden prep student new high school nbc10,https://uncommonschools.org/camden/camden-prep-student-new-high-school-nbc10/,yes,Keep,53 views in 12 months.
Main site,133,3 Content pages,News posts,North stars mike taubman what a moral philosophy course offers high school students,https://uncommonschools.org/news/north-stars-mike-taubman-what-a-moral-philosophy-course-offers-high-school-students/,yes,Keep,53 views in 12 months.
Main site,134,3 Content pages,News posts,Class of 2024 success rphs,https://uncommonschools.org/news/class-of-2024-success-rphs/,yes,Keep,51 views in 12 months.
Main site,135,3 Content pages,News posts,Julie jackson the black wall street times,https://uncommonschools.org/news/julie-jackson-the-black-wall-street-times/,yes,Keep,50 views in 12 months.
Main site,136,3 Content pages,News posts,Rochester prep students earn full scholarships to prestigious colleges,https://uncommonschools.org/rochester/rochester-prep-students-earn-full-scholarships-to-prestigious-colleges/,yes,Kill,Old news (2023); 48 views in 12 months.
Main site,137,3 Content pages,News posts,Williamsburg elementary celebrates student reading achievements,https://uncommonschools.org/news/williamsburg-elementary-celebrates-student-reading-achievements/,yes,Keep,News from 2024; 46 views in 12 months.
Main site,138,3 Content pages,News posts,Eir grant,https://uncommonschools.org/news/eir-grant/,yes,Kill,Old news (2022); 45 views in 12 months.
Main site,139,3 Content pages,News posts,North star principal joins panel discussion on school reopening,https://uncommonschools.org/newark/north-star-principal-joins-panel-discussion-on-school-reopening/,yes,Kill,Old news (2020); 44 views in 12 months.
Main site,140,3 Content pages,News posts,Neurodiverse camden prep high schoolers mentor younger students with disabilities,https://uncommonschools.org/news/neurodiverse-camden-prep-high-schoolers-mentor-younger-students-with-disabilities/,yes,Keep,News from 2024; 42 views in 12 months.
Main site,141,3 Content pages,News posts,Rit rochester prep,https://uncommonschools.org/rochester/rit-rochester-prep/,yes,Kill,Old news (2022); 42 views in 12 months.
Main site,142,3 Content pages,News posts,Cbs news uncommon camden prep celebrates success of turnaround efforts,https://uncommonschools.org/news/cbs-news-uncommon-camden-prep-celebrates-success-of-turnaround-efforts/,yes,Kill,Old news (2023); 42 views in 12 months.
Main site,143,3 Content pages,News posts,Roxbury prep teacher shortage,https://uncommonschools.org/news/roxbury-prep-teacher-shortage/,yes,Kill,Old news (2023); 40 views in 12 months.
Main site,144,3 Content pages,News posts,Brooklyn students move on to next phase of their journey,https://uncommonschools.org/new-york-city/brooklyn-students-move-on-to-next-phase-of-their-journey/,yes,Kill,Old news (2022); 40 views in 12 months.
Main site,145,3 Content pages,News posts,Rochester prep celebrates senior signing day,https://uncommonschools.org/news/rochester-prep-celebrates-senior-signing-day/,yes,Kill,Old news (2023); 39 views in 12 months.
Main site,146,3 Content pages,News posts,Camden prep ribbon cutting,https://uncommonschools.org/news/camden-prep-ribbon-cutting/,yes,Keep,News from 2024; 38 views in 12 months.
Main site,147,3 Content pages,News posts,Uncommon sense blog,https://uncommonschools.org/news/uncommon-sense-blog/,yes,Kill,Old news (2021); 37 views in 12 months.
Main site,148,3 Content pages,News posts,Morehouse men visit excellence boys brooklyn,https://uncommonschools.org/new-york-city/morehouse-men-visit-excellence-boys-brooklyn/,yes,Kill,Old news (2023); 36 views in 12 months.
Main site,149,3 Content pages,News posts,New principal new high school in camden,https://uncommonschools.org/news/new-principal-new-high-school-in-camden/,yes,Kill,Old news (2021); 36 views in 12 months.
Main site,150,3 Content pages,News posts,What students told us they love about 5 stellar teachers,https://uncommonschools.org/news/what-students-told-us-they-love-about-5-stellar-teachers/,yes,Kill,Old news (2022); 34 views in 12 months.
Main site,151,3 Content pages,News posts,Camden prep teacher competes on survivor season 43,https://uncommonschools.org/news/camden-prep-teacher-competes-on-survivor-season-43/,yes,Kill,Old news (2022); 33 views in 12 months.
Main site,152,3 Content pages,News posts,Brooklyn patch ulchs grads college,https://uncommonschools.org/news/brooklyn-patch-ulchs-grads-college/,yes,Kill,Old news (2021); 32 views in 12 months.
Main site,153,3 Content pages,News posts,Roxbury parents fight hunger,https://uncommonschools.org/news/roxbury-parents-fight-hunger/,yes,Kill,Old news (2023); 31 views in 12 months.
Main site,154,3 Content pages,News posts,Governor murphy is right to focus on literacy,https://uncommonschools.org/news/governor-murphy-is-right-to-focus-on-literacy/,yes,Keep,News from 2024; 28 views in 12 months.
Main site,155,3 Content pages,News posts,A principal discovers his passion at morehouse,https://uncommonschools.org/news/a-principal-discovers-his-passion-at-morehouse/,yes,Kill,Old news (2019); 27 views in 12 months.
Main site,156,3 Content pages,News posts,North star academy students earn pretigous questbridge scholarships,https://uncommonschools.org/news/north-star-academy-students-earn-pretigous-questbridge-scholarships/,yes,Keep,News from 2024; 26 views in 12 months.
Main site,157,3 Content pages,News posts,Julie jackson named uncommon schools president,https://uncommonschools.org/news/julie-jackson-named-uncommon-schools-president/,yes,Keep,News from 2025; 26 views in 12 months.
